,Altitude(km),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
20,350,4.0562525e-12,4.06095275e-12,4.0625195e-12,4.063302875e-12,4.0618928e-12,4.0625195e-12,4.062967142857142e-12,4.063302875e-12,4.0625195e-12,4.06283285e-12,4.063089227272727e-12,4.063302875e-12,4.062760538461539e-12,4.062967142857142e-12,4.0631462e-12,4.063302875e-12,4.062888147058824e-12,4.06304175e-12,4.063179184210526e-12,4.0633028749999995e-12,4.062967142857143e-12,4.063089227272727e-12,4.063200695652174e-12,4.063302875e-12,4.0630208599999996e-12,4.063122096153846e-12,4.0632158333333335e-12,4.063302875e-12,4.0630597586206895e-12,4.0631462e-12,4.063227064516129e-12,4.063302875e-12,4.063089227272727e-12,4.0631646323529414e-12,4.0632357285714285e-12,4.0633028749999995e-12,4.063112324324324e-12,4.063179184210526e-12,4.063242615384615e-12,4.0633028749999995e-12,4.063130914634146e-12,4.063190964285715e-12,4.063248220930233e-12,4.063302875e-12,4.0631461999999995e-12,4.063200695652174e-12,4.063252872340426e-12,4.063302875e-12,4.063158989795919e-12,4.06320887e-12
21,360,3.2829195e-12,3.28676125e-12,3.2880418333333338e-12,3.288682125e-12,3.2875296e-12,3.2880418333333338e-12,3.288407714285714e-12,3.288682125e-12,3.2880418333333334e-12,3.28829795e-12,3.2885075e-12,3.2886821249999997e-12,3.288238846153846e-12,3.288407714285714e-12,3.2885540666666667e-12,3.288682125e-12,3.288343147058823e-12,3.2884686944444443e-12,3.2885810263157894e-12,3.288682125e-12,3.2884077142857145e-12,3.2885075e-12,3.2885986086956525e-12,3.2886821249999997e-12,3.28845162e-12,3.2885343653846155e-12,3.2886109814814817e-12,3.2886821249999997e-12,3.2884834137931035e-12,3.2885540666666667e-12,3.288620161290323e-12,3.288682125e-12,3.2885075e-12,3.2885691323529412e-12,3.288627242857143e-12,3.288682125e-12,3.2885263783783783e-12,3.2885810263157894e-12,3.2886328717948718e-12,3.288682125e-12,3.288541573170732e-12,3.288590654761905e-12,3.2886374534883723e-12,3.288682125e-12,3.2885540666666667e-12,3.2885986086956525e-12,3.2886412553191485e-12,3.2886821249999997e-12,3.2885645204081634e-12,3.28860529e-12
22,370,2.6681679999999996e-12,2.67132025e-12,2.672371e-12,2.672896375e-12,2.6719506999999997e-12,2.672371e-12,2.6726712142857146e-12,2.672896375e-12,2.672371e-12,2.6725811499999998e-12,2.672753090909091e-12,2.672896375e-12,2.672532653846154e-12,2.6726712142857146e-12,2.6727913e-12,2.672896375e-12,2.672618235294118e-12,2.67272125e-12,2.6728134210526317e-12,2.672896375e-12,2.672671214285714e-12,2.672753090909091e-12,2.672827847826087e-12,2.672896375e-12,2.67270724e-12,2.6727751346153844e-12,2.6728380000000002e-12,2.672896375e-12,2.672733327586207e-12,2.6727913e-12,2.672845532258065e-12,2.672896375e-12,2.672753090909091e-12,2.672803661764706e-12,2.672851342857143e-12,2.672896375e-12,2.6727685810810814e-12,2.6728134210526317e-12,2.6728559615384616e-12,2.672896375e-12,2.672781048780488e-12,2.6728213214285712e-12,2.6728597209302324e-12,2.672896375e-12,2.6727913e-12,2.672827847826087e-12,2.6728628404255322e-12,2.672896375e-12,2.67279987755102e-12,2.67283333e-12
23,380,2.1769325e-12,2.1795225e-12,2.1803858333333335e-12,2.1808175e-12,2.1800405e-12,2.1803858333333335e-12,2.1806325e-12,2.1808175e-12,2.180385833333333e-12,2.1805585e-12,2.1806997727272725e-12,2.1808175e-12,2.1805186538461537e-12,2.1806325e-12,2.1807311666666667e-12,2.1808175e-12,2.1805889705882353e-12,2.180673611111111e-12,2.180749342105263e-12,2.1808174999999998e-12,2.1806325e-12,2.1806997727272725e-12,2.180761195652174e-12,2.1808175e-12,2.1806621e-12,2.1807178846153845e-12,2.1807695370370373e-12,2.1808174999999998e-12,2.1806835344827585e-12,2.1807311666666667e-12,2.1807757258064517e-12,2.1808175e-12,2.1806997727272725e-12,2.1807413235294116e-12,2.1807805e-12,2.1808175e-12,2.1807125e-12,2.180749342105263e-12,2.180784294871795e-12,2.1808174999999998e-12,2.180722743902439e-12,2.1807558333333334e-12,2.18078738372093e-12,2.1808174999999998e-12,2.1807311666666667e-12,2.180761195652174e-12,2.1807899468085106e-12,2.1808175e-12,2.180738214285714e-12,2.1807656999999997e-12
24,390,1.7824855e-12,1.7846207500000002e-12,1.7853325e-12,1.7856883750000001e-12,1.7850478e-12,1.7853325e-12,1.785535857142857e-12,1.7856883750000001e-12,1.7853325e-12,1.7854748499999998e-12,1.785591318181818e-12,1.7856883750000001e-12,1.785442e-12,1.785535857142857e-12,1.7856172e-12,1.7856883750000001e-12,1.7854999705882352e-12,1.78556975e-12,1.7856321842105262e-12,1.785688375e-12,1.7855358571428572e-12,1.785591318181818e-12,1.7856419565217391e-12,1.7856883750000001e-12,1.78556026e-12,1.7856062500000002e-12,1.7856488333333332e-12,1.7856883750000001e-12,1.7855779310344827e-12,1.7856172e-12,1.7856539354838709e-12,1.7856883750000001e-12,1.7855913181818182e-12,1.7856255735294118e-12,1.7856578714285712e-12,1.785688375e-12,1.7856018108108108e-12,1.7856321842105262e-12,1.785661e-12,1.785688375e-12,1.785610256097561e-12,1.7856375357142857e-12,1.785663546511628e-12,1.7856883750000001e-12,1.7856171999999998e-12,1.7856419565217391e-12,1.785665659574468e-12,1.7856883750000001e-12,1.7856230102040816e-12,1.78564567e-12
25,400,1.4643255e-12,1.466095e-12,1.4666848333333335e-12,1.46697975e-12,1.4664489e-12,1.4666848333333335e-12,1.4668533571428571e-12,1.46697975e-12,1.4666848333333335e-12,1.4668028e-12,1.4668993181818181e-12,1.46697975e-12,1.4667755769230768e-12,1.4668533571428571e-12,1.4669207666666667e-12,1.46697975e-12,1.4668236176470587e-12,1.4668814444444445e-12,1.4669331842105264e-12,1.46697975e-12,1.4668533571428571e-12,1.4668993181818181e-12,1.4669412826086958e-12,1.46697975e-12,1.46687358e-12,1.4669116923076923e-12,1.4669469814814815e-12,1.4669797500000001e-12,1.466888224137931e-12,1.4669207666666667e-12,1.4669512096774192e-12,1.46697975e-12,1.4668993181818181e-12,1.466927705882353e-12,1.4669544714285715e-12,1.4669797500000001e-12,1.4669080135135135e-12,1.4669331842105264e-12,1.466957064102564e-12,1.46697975e-12,1.4669150121951219e-12,1.466937619047619e-12,1.4669591744186047e-12,1.4669797500000001e-12,1.4669207666666667e-12,1.4669412826086958e-12,1.4669609255319149e-12,1.46697975e-12,1.466925581632653e-12,1.46694436e-12
26,410,1.2066305e-12,1.2080915e-12,1.2085785e-12,1.208822e-12,1.2083837e-12,1.2085785e-12,1.208717642857143e-12,1.208822e-12,1.2085785e-12,1.2086759e-12,1.2087555909090909e-12,1.208822e-12,1.208653423076923e-12,1.208717642857143e-12,1.2087733e-12,1.208822e-12,1.2086930882352942e-12,1.2087408333333334e-12,1.2087835526315788e-12,1.208822e-12,1.208717642857143e-12,1.2087555909090909e-12,1.2087902391304349e-12,1.208822e-12,1.20873434e-12,1.2087658076923076e-12,1.2087949444444445e-12,1.2088219999999998e-12,1.2087464310344827e-12,1.2087733e-12,1.2087984354838708e-12,1.208822e-12,1.2087555909090909e-12,1.2087790294117646e-12,1.2088011285714287e-12,1.208822e-12,1.2087627702702703e-12,1.2087835526315788e-12,1.2088032692307694e-12,1.208822e-12,1.2087685487804879e-12,1.2087872142857143e-12,1.208805011627907e-12,1.208822e-12,1.2087733e-12,1.2087902391304349e-12,1.2088064574468085e-12,1.208822e-12,1.208777275510204e-12,1.20879278e-12
27,420,9.9709635e-13,9.98310275e-13,9.987149166666666e-13,9.989172375e-13,9.9855306e-13,9.987149166666666e-13,9.988305285714284e-13,9.989172375e-13,9.987149166666668e-13,9.987958450000001e-13,9.98862059090909e-13,9.989172375e-13,9.987771692307693e-13,9.988305285714284e-13,9.988767733333333e-13,9.989172375e-13,9.988101264705883e-13,9.988497972222221e-13,9.988852921052631e-13,9.989172375e-13,9.988305285714286e-13,9.98862059090909e-13,9.988908478260868e-13,9.989172375e-13,9.98844402e-13,9.98870548076923e-13,9.988947574074073e-13,9.989172375e-13,9.98854448275862e-13,9.988767733333333e-13,9.988976580645162e-13,9.989172375e-13,9.988620590909092e-13,9.988815338235295e-13,9.988998957142856e-13,9.989172375e-13,9.988680243243243e-13,9.988852921052631e-13,9.989016743589743e-13,9.989172375e-13,9.98872825609756e-13,9.988883345238095e-13,9.989031220930233e-13,9.989172375e-13,9.988767733333333e-13,9.988908478260868e-13,9.989043234042553e-13,9.989172375e-13,9.988800765306122e-13,9.98892959e-13
28,430,8.261154e-13,8.27124775e-13,8.274612333333333e-13,8.276294625e-13,8.273266500000001e-13,8.274612333333333e-13,8.275573642857144e-13,8.276294625e-13,8.274612333333333e-13,8.27528525e-13,8.275835818181818e-13,8.276294625e-13,8.275129961538462e-13,8.275573642857144e-13,8.275958166666666e-13,8.276294625e-13,8.275404000000001e-13,8.275733861111112e-13,8.276029e-13,8.276294625e-13,8.275573642857143e-13,8.275835818181818e-13,8.276075195652173e-13,8.276294625e-13,8.275688999999999e-13,8.275906403846154e-13,8.276107703703704e-13,8.276294625e-13,8.275772534482758e-13,8.275958166666666e-13,8.276131822580645e-13,8.276294625e-13,8.275835818181817e-13,8.27599775e-13,8.276150428571429e-13,8.276294625e-13,8.275885418918918e-13,8.276029e-13,8.276165217948718e-13,8.276294625e-13,8.275925341463414e-13,8.276054297619047e-13,8.276177255813953e-13,8.276294625e-13,8.275958166666666e-13,8.276075195652173e-13,8.276187244680851e-13,8.276294625e-13,8.275985632653062e-13,8.276092749999999e-13
29,440,6.8613345e-13,6.8697445e-13,6.872547833333333e-13,6.8739495e-13,6.8714265e-13,6.872547833333333e-13,6.873348785714286e-13,6.8739495e-13,6.872547833333334e-13,6.8731085e-13,6.873567227272727e-13,6.8739495e-13,6.872979115384615e-13,6.873348785714286e-13,6.873669166666666e-13,6.8739495e-13,6.87320744117647e-13,6.873482277777777e-13,6.873728184210526e-13,6.8739495e-13,6.873348785714286e-13,6.873567227272727e-13,6.873766673913044e-13,6.8739495e-13,6.8734449e-13,6.873626038461539e-13,6.873793759259259e-13,6.873949499999999e-13,6.8735145e-13,6.873669166666666e-13,6.87381385483871e-13,6.8739495e-13,6.873567227272727e-13,6.873702147058824e-13,6.873829357142857e-13,6.8739495e-13,6.873608554054054e-13,6.873728184210526e-13,6.873841679487179e-13,6.8739495e-13,6.873641817073171e-13,6.873749261904762e-13,6.873851709302325e-13,6.8739495e-13,6.873669166666667e-13,6.873766673913044e-13,6.873860031914894e-13,6.8739495e-13,6.873692051020408e-13,6.8737813e-13
30,450,5.7118265e-13,5.718845000000001e-13,5.7211845e-13,5.722354250000001e-13,5.720248700000001e-13,5.7211845e-13,5.721852928571429e-13,5.722354250000001e-13,5.7211845e-13,5.7216524e-13,5.722035227272727e-13,5.72235425e-13,5.721544423076923e-13,5.721852928571429e-13,5.722120299999999e-13,5.722354250000001e-13,5.721734970588236e-13,5.721964333333333e-13,5.722169552631579e-13,5.72235425e-13,5.721852928571429e-13,5.722035227272727e-13,5.722201673913044e-13,5.72235425e-13,5.721933140000001e-13,5.722084307692307e-13,5.722224277777778e-13,5.72235425e-13,5.721991224137931e-13,5.722120299999999e-13,5.722241048387097e-13,5.722354250000001e-13,5.722035227272726e-13,5.722147823529411e-13,5.722253985714285e-13,5.72235425e-13,5.722069716216216e-13,5.722169552631579e-13,5.72226426923077e-13,5.72235425e-13,5.722097475609756e-13,5.722187142857142e-13,5.722272639534883e-13,5.72235425e-13,5.7221203e-13,5.722201673913044e-13,5.722279585106384e-13,5.72235425e-13,5.722139397959184e-13,5.722213879999999e-13
31,460,4.7652285e-13,4.771103e-13,4.773061166666667e-13,4.77404025e-13,4.7722779e-13,4.773061166666667e-13,4.773620642857143e-13,4.77404025e-13,4.773061166666667e-13,4.7734528e-13,4.773773227272728e-13,4.77404025e-13,4.773362423076923e-13,4.773620642857143e-13,4.773844433333334e-13,4.77404025e-13,4.773521911764706e-13,4.773713888888889e-13,4.773885657894737e-13,4.77404025e-13,4.773620642857143e-13,4.773773227272728e-13,4.773912543478261e-13,4.77404025e-13,4.77368778e-13,4.773814307692307e-13,4.773931462962963e-13,4.774040250000001e-13,4.773736396551724e-13,4.773844433333334e-13,4.7739455e-13,4.77404025e-13,4.773773227272727e-13,4.773867470588235e-13,4.773956328571428e-13,4.77404025e-13,4.773802094594595e-13,4.773885657894737e-13,4.773964935897436e-13,4.77404025e-13,4.773825329268293e-13,4.773900380952381e-13,4.773971941860465e-13,4.774040250000001e-13,4.773844433333333e-13,4.773912543478261e-13,4.773977755319149e-13,4.77404025e-13,4.773860418367347e-13,4.77392276e-13
32,470,3.9837194999999996e-13,3.98864075e-13,3.9902811666666666e-13,3.991101375e-13,3.9896250000000003e-13,3.9902811666666666e-13,3.990749857142857e-13,3.991101375e-13,3.9902811666666666e-13,3.99060925e-13,3.990877681818182e-13,3.9911013750000003e-13,3.9905335384615384e-13,3.990749857142857e-13,3.9909373333333334e-13,3.991101375e-13,3.9906671470588234e-13,3.9908279722222224e-13,3.990971868421053e-13,3.9911013750000003e-13,3.990749857142857e-13,3.990877681818182e-13,3.990994391304348e-13,3.9911013750000003e-13,3.9908061000000003e-13,3.990912096153846e-13,3.9910102407407407e-13,3.991101375e-13,3.990846827586207e-13,3.9909373333333334e-13,3.9910220000000004e-13,3.991101375e-13,3.9908776818181814e-13,3.9909566323529415e-13,3.991031071428571e-13,3.9911013750000003e-13,3.990901864864865e-13,3.990971868421053e-13,3.991038282051282e-13,3.9911013750000003e-13,3.990921329268293e-13,3.9909842023809523e-13,3.991044151162791e-13,3.991101375e-13,3.9909373333333334e-13,3.990994391304348e-13,3.991049021276596e-13,3.9911013750000003e-13,3.9909507244897956e-13,3.99100295e-13
33,480,3.3369744999999997e-13,3.34110475e-13,3.3424814999999996e-13,3.343169875e-13,3.3419307999999996e-13,3.3424814999999996e-13,3.3428748571428573e-13,3.343169875e-13,3.3424815e-13,3.3427568500000003e-13,3.3429821363636363e-13,3.343169875e-13,3.3426933076923077e-13,3.3428748571428573e-13,3.3430322e-13,3.343169875e-13,3.34280544117647e-13,3.3429404166666666e-13,3.343061184210526e-13,3.343169875e-13,3.3428748571428573e-13,3.3429821363636363e-13,3.3430800869565215e-13,3.343169875e-13,3.34292206e-13,3.343011019230769e-13,3.343093388888889e-13,3.343169875e-13,3.342956241379311e-13,3.3430322e-13,3.343103258064516e-13,3.343169875e-13,3.342982136363637e-13,3.3430483970588235e-13,3.3431108714285713e-13,3.343169875e-13,3.343002432432432e-13,3.343061184210526e-13,3.343116923076923e-13,3.343169875e-13,3.3430187682926824e-13,3.3430715357142857e-13,3.3431218488372094e-13,3.343169875e-13,3.3430322e-13,3.3430800869565215e-13,3.3431259361702127e-13,3.343169875e-13,3.34304343877551e-13,3.3430872699999997e-13
34,490,2.80057e-13,2.8040425000000003e-13,2.8052e-13,2.80577875e-13,2.804737e-13,2.8052e-13,2.8055307142857143e-13,2.80577875e-13,2.8052e-13,2.8054315000000004e-13,2.805620909090909e-13,2.8057787500000004e-13,2.8053780769230767e-13,2.8055307142857143e-13,2.8056629999999997e-13,2.80577875e-13,2.8054723529411764e-13,2.8055858333333334e-13,2.8056873684210527e-13,2.8057787500000004e-13,2.8055307142857143e-13,2.805620909090909e-13,2.805703260869565e-13,2.8057787500000004e-13,2.8055704e-13,2.805645192307692e-13,2.8057144444444444e-13,2.80577875e-13,2.8055991379310344e-13,2.8056629999999997e-13,2.805722741935484e-13,2.80577875e-13,2.805620909090909e-13,2.805676617647059e-13,2.8057291428571427e-13,2.80577875e-13,2.805637972972973e-13,2.8056873684210527e-13,2.8057342307692306e-13,2.8057787500000004e-13,2.805651707317073e-13,2.8056960714285717e-13,2.805738372093023e-13,2.80577875e-13,2.805663e-13,2.805703260869565e-13,2.8057418085106385e-13,2.8057787500000004e-13,2.805672448979592e-13,2.8057093e-13
35,500,2.35477e-13,2.35769925e-13,2.3586756666666666e-13,2.359163875e-13,2.3582851e-13,2.3586756666666666e-13,2.358954642857143e-13,2.359163875e-13,2.3586756666666666e-13,2.3588709499999997e-13,2.3590307272727274e-13,2.359163875e-13,2.3588258846153847e-13,2.358954642857143e-13,2.359066233333334e-13,2.359163875e-13,2.358905411764706e-13,2.359001138888889e-13,2.3590867894736843e-13,2.359163875e-13,2.358954642857143e-13,2.3590307272727274e-13,2.359100195652174e-13,2.359163875e-13,2.3589881199999997e-13,2.359051211538462e-13,2.3591096296296295e-13,2.359163875e-13,2.359012362068965e-13,2.359066233333334e-13,2.359116629032258e-13,2.359163875e-13,2.3590307272727274e-13,2.359077720588235e-13,2.359122028571429e-13,2.359163875e-13,2.3590451216216217e-13,2.3590867894736843e-13,2.3591263205128205e-13,2.359163875e-13,2.3590567073170733e-13,2.359094130952381e-13,2.3591298139534883e-13,2.359163875e-13,2.359066233333333e-13,2.359100195652174e-13,2.3591327127659574e-13,2.359163875e-13,2.359074204081633e-13,2.3591052900000003e-13
36,510,1.9835710000000002e-13,1.9860422500000002e-13,1.986866e-13,1.987277875e-13,1.9865365e-13,1.986866e-13,1.987101357142857e-13,1.987277875e-13,1.9868660000000002e-13,1.9870307499999998e-13,1.9871655454545454e-13,1.987277875e-13,1.9869927307692308e-13,1.987101357142857e-13,1.9871955e-13,1.987277875e-13,1.9870598235294116e-13,1.9871405833333335e-13,1.9872128421052633e-13,1.9872778749999999e-13,1.987101357142857e-13,1.9871655454545454e-13,1.9872241521739132e-13,1.987277875e-13,1.9871296e-13,1.987182826923077e-13,1.987232111111111e-13,1.987277875e-13,1.987150051724138e-13,1.9871955e-13,1.9872380161290322e-13,1.987277875e-13,1.9871655454545454e-13,1.9872051911764705e-13,1.9872425714285715e-13,1.987277875e-13,1.987177689189189e-13,1.9872128421052633e-13,1.9872461923076922e-13,1.9872778749999999e-13,1.987187463414634e-13,1.9872190357142858e-13,1.9872491395348838e-13,1.9872778749999999e-13,1.9871955e-13,1.9872241521739132e-13,1.9872515851063828e-13,1.987277875e-13,1.987202224489796e-13,1.98722845e-13
37,520,1.6739365e-13,1.67602775e-13,1.6767248333333333e-13,1.677073375e-13,1.6764459999999999e-13,1.6767248333333333e-13,1.6769239999999999e-13,1.677073375e-13,1.6767248333333333e-13,1.67686425e-13,1.6769783181818182e-13,1.677073375e-13,1.676832076923077e-13,1.6769239999999999e-13,1.6770036666666666e-13,1.677073375e-13,1.6768888529411765e-13,1.6769571944444444e-13,1.677018342105263e-13,1.6770733749999998e-13,1.6769239999999999e-13,1.6769783181818182e-13,1.6770279130434783e-13,1.677073375e-13,1.6769479e-13,1.6769929423076922e-13,1.6770346481481482e-13,1.677073375e-13,1.676965206896552e-13,1.6770036666666666e-13,1.6770396451612905e-13,1.677073375e-13,1.6769783181818182e-13,1.6770118676470587e-13,1.6770435e-13,1.6770733749999998e-13,1.6769885945945947e-13,1.677018342105263e-13,1.6770465641025642e-13,1.6770733749999998e-13,1.6769968658536584e-13,1.6770235833333334e-13,1.6770490581395347e-13,1.677073375e-13,1.6770036666666666e-13,1.6770279130434783e-13,1.6770511276595743e-13,1.677073375e-13,1.677009357142857e-13,1.67703155e-13
38,530,1.4152275e-13,1.41700075e-13,1.4175918333333334e-13,1.417887375e-13,1.4173554e-13,1.4175918333333334e-13,1.4177607142857143e-13,1.417887375e-13,1.4175918333333334e-13,1.41771005e-13,1.4178067727272726e-13,1.417887375e-13,1.4176827692307694e-13,1.4177607142857143e-13,1.4178282666666667e-13,1.417887375e-13,1.417730911764706e-13,1.417788861111111e-13,1.4178407105263157e-13,1.417887375e-13,1.4177607142857143e-13,1.4178067727272726e-13,1.4178488260869567e-13,1.417887375e-13,1.41778098e-13,1.417819173076923e-13,1.417854537037037e-13,1.417887375e-13,1.4177956551724138e-13,1.4178282666666667e-13,1.4178587741935482e-13,1.417887375e-13,1.417806772727273e-13,1.4178352205882354e-13,1.4178620428571428e-13,1.417887375e-13,1.4178154864864864e-13,1.4178407105263157e-13,1.417864641025641e-13,1.417887375e-13,1.4178225e-13,1.4178451547619047e-13,1.4178667558139533e-13,1.417887375e-13,1.4178282666666667e-13,1.4178488260869567e-13,1.417868510638298e-13,1.417887375e-13,1.4178330918367348e-13,1.41785191e-13
39,540,1.1987165000000002e-13,1.2002247500000002e-13,1.2007275e-13,1.200978875e-13,1.2005263999999998e-13,1.2007275e-13,1.2008711428571429e-13,1.200978875e-13,1.2007275e-13,1.20082805e-13,1.200910318181818e-13,1.200978875e-13,1.2008048461538463e-13,1.2008711428571429e-13,1.2009286e-13,1.200978875e-13,1.200845794117647e-13,1.2008950833333335e-13,1.2009391842105264e-13,1.200978875e-13,1.2008711428571429e-13,1.200910318181818e-13,1.2009460869565218e-13,1.200978875e-13,1.20088838e-13,1.2009208653846155e-13,1.2009509444444444e-13,1.200978875e-13,1.2009008620689655e-13,1.2009286e-13,1.2009545483870968e-13,1.200978875e-13,1.200910318181818e-13,1.2009345147058823e-13,1.2009573285714286e-13,1.200978875e-13,1.2009177297297297e-13,1.2009391842105264e-13,1.2009595384615384e-13,1.200978875e-13,1.200923695121951e-13,1.2009429642857142e-13,1.2009613372093023e-13,1.200978875e-13,1.2009286e-13,1.2009460869565218e-13,1.2009628297872338e-13,1.200978875e-13,1.2009327040816327e-13,1.2009487099999998e-13
40,550,1.0172533499999999e-13,1.0185404999999999e-13,1.0189695499999999e-13,1.0191840750000001e-13,1.0187979300000001e-13,1.0189695499999999e-13,1.0190921357142858e-13,1.0191840750000001e-13,1.01896955e-13,1.01905536e-13,1.0191255681818183e-13,1.019184075e-13,1.0190355576923077e-13,1.0190921357142858e-13,1.01914117e-13,1.0191840750000001e-13,1.0190705029411766e-13,1.0191125666666666e-13,1.019150202631579e-13,1.019184075e-13,1.0190921357142858e-13,1.0191255681818183e-13,1.019156093478261e-13,1.019184075e-13,1.019106846e-13,1.0191345692307692e-13,1.0191602388888888e-13,1.019184075e-13,1.019117498275862e-13,1.01914117e-13,1.019163314516129e-13,1.0191840750000001e-13,1.0191255681818182e-13,1.0191462176470588e-13,1.0191656871428571e-13,1.0191840750000001e-13,1.0191318932432433e-13,1.019150202631579e-13,1.019167573076923e-13,1.019184075e-13,1.0191369841463415e-13,1.0191534285714285e-13,1.0191691081395348e-13,1.019184075e-13,1.01914117e-13,1.019156093478261e-13,1.0191703819148936e-13,1.019184075e-13,1.0191446724489797e-13,1.0191583319999999e-13
41,560,8.6494485e-14,8.660434999999999e-14,8.664097166666667e-14,8.665928249999999e-14,8.6626323e-14,8.664097166666667e-14,8.6651435e-14,8.665928249999999e-14,8.664097166666667e-14,8.6648296e-14,8.665428863636363e-14,8.665928249999999e-14,8.664660576923078e-14,8.6651435e-14,8.665562033333333e-14,8.665928249999999e-14,8.664958852941176e-14,8.66531788888889e-14,8.665639131578947e-14,8.665928249999999e-14,8.6651435e-14,8.665428863636363e-14,8.665689413043479e-14,8.665928249999999e-14,8.66526906e-14,8.665505692307692e-14,8.665724796296295e-14,8.66592825e-14,8.66535998275862e-14,8.665562033333333e-14,8.665751048387097e-14,8.665928249999999e-14,8.665428863636364e-14,8.665605117647059e-14,8.6657713e-14,8.66592825e-14,8.665482851351352e-14,8.665639131578947e-14,8.665787397435898e-14,8.665928249999999e-14,8.665526304878049e-14,8.665666666666667e-14,8.6658005e-14,8.66592825e-14,8.665562033333333e-14,8.665689413043479e-14,8.665811372340426e-14,8.665928249999999e-14,8.665591928571428e-14,8.66570852e-14
42,570,7.3692335e-14,7.378647499999999e-14,7.3817855e-14,7.383354500000001e-14,7.3805303e-14,7.3817855e-14,7.382682071428572e-14,7.383354500000001e-14,7.3817855e-14,7.3824131e-14,7.382926590909092e-14,7.3833545e-14,7.382268269230769e-14,7.382682071428572e-14,7.3830407e-14,7.383354500000001e-14,7.382523852941176e-14,7.382831499999999e-14,7.383106763157896e-14,7.3833545e-14,7.382682071428571e-14,7.382926590909092e-14,7.383149847826088e-14,7.3833545e-14,7.38278966e-14,7.382992423076923e-14,7.383180166666666e-14,7.3833545e-14,7.382867568965518e-14,7.3830407e-14,7.383202661290322e-14,7.383354500000001e-14,7.38292659090909e-14,7.38307761764706e-14,7.383220014285714e-14,7.3833545e-14,7.382972851351351e-14,7.383106763157896e-14,7.383233807692307e-14,7.3833545e-14,7.383010085365854e-14,7.383130357142857e-14,7.383245034883721e-14,7.3833545e-14,7.3830407e-14,7.383149847826088e-14,7.38325435106383e-14,7.3833545e-14,7.38306631632653e-14,7.38316622e-14
43,580,6.291701e-14,6.299792750000001e-14,6.30249e-14,6.303838625000001e-14,6.3014111e-14,6.30249e-14,6.303260642857143e-14,6.303838625000001e-14,6.302490000000001e-14,6.30302945e-14,6.303470818181818e-14,6.303838625e-14,6.302904961538462e-14,6.303260642857143e-14,6.3035689e-14,6.303838625000001e-14,6.303124647058823e-14,6.303389083333334e-14,6.303625684210526e-14,6.303838625000001e-14,6.303260642857143e-14,6.303470818181818e-14,6.303662717391304e-14,6.303838625e-14,6.30335312e-14,6.303527403846153e-14,6.303688777777778e-14,6.303838625000001e-14,6.303420086206896e-14,6.3035689e-14,6.303708112903225e-14,6.303838625000001e-14,6.303470818181818e-14,6.303600632352942e-14,6.303723028571428e-14,6.303838625e-14,6.303510581081082e-14,6.303625684210526e-14,6.303734884615385e-14,6.303838625000001e-14,6.303542585365853e-14,6.303645964285714e-14,6.303744534883721e-14,6.303838625e-14,6.3035689e-14,6.303662717391304e-14,6.303752542553192e-14,6.303838625e-14,6.303590918367346e-14,6.303676790000001e-14
44,590,5.3835445e-14,5.390521e-14,5.3928464999999996e-14,5.39400925e-14,5.3919163e-14,5.3928464999999996e-14,5.3935109285714286e-14,5.39400925e-14,5.3928465e-14,5.3933116e-14,5.3936921363636365e-14,5.3940092499999994e-14,5.3932042692307696e-14,5.3935109285714286e-14,5.3937767e-14,5.39400925e-14,5.3933936764705885e-14,5.393621666666667e-14,5.3938256578947366e-14,5.39400925e-14,5.3935109285714286e-14,5.3936921363636365e-14,5.393857586956521e-14,5.3940092499999994e-14,5.39359066e-14,5.393740923076923e-14,5.3938800555555554e-14,5.394009250000001e-14,5.393648396551724e-14,5.3937767e-14,5.3938967258064515e-14,5.39400925e-14,5.3936921363636365e-14,5.393804058823529e-14,5.3939095857142857e-14,5.39400925e-14,5.393726418918919e-14,5.3938256578947366e-14,5.393919807692308e-14,5.39400925e-14,5.3937540121951216e-14,5.3938431428571425e-14,5.393928127906977e-14,5.3940092499999994e-14,5.3937767000000006e-14,5.393857586956521e-14,5.393935031914894e-14,5.3940092499999994e-14,5.39379568367347e-14,5.3938697199999996e-14
